Depth [L],t = 0.02,t = 0.2,t = 0.5,t = 1.0,t = 1.5,t = 2.0,t = 3.0,t = 6.0
18.75,499.9999999991275,499.99999991710223,499.99999952275436,499.9999983222074,499.99999665160937,499.9999946753142,499.9999901954168,499.99997533381696
21.25,491.4597310565026,420.8939194284007,325.1350018148616,211.54400337738855,137.69246454135475,89.64832032871233,38.022675963481475,2.9062010127342806
23.75,493.23684006158965,435.2015616325369,350.141769579535,239.33467906846806,161.10359996298573,107.35506775321805,46.80784555064364,3.6656226475244478
26.25,494.2926664255208,444.5121986462121,368.45981539062745,262.6767914229701,182.62596228489707,124.67047047385205,56.05577245981997,4.520213059101152
28.75,495.1735277140786,452.3677072949996,384.48449299255503,284.5984419363549,204.15093634927348,142.87612850823106,66.45431993646022,5.549657193680897
31.25,495.96816595470574,459.57418039190094,399.58457738261717,306.29349420290754,226.5268996061069,162.643552617276,78.49912642893129,6.834579646772408
33.75,496.70020106113327,465.6403139235355,412.08601160315527,325.45760221747275,247.6802389512994,182.3948716224819,91.51465251496424,8.354293040017504
36.25,472.440572335406,320.92399075530017,233.05787135300895,176.41086633754358,135.46626772533355,100.97819839340043,51.67135988304612,4.834100029777516
38.75,496.3319819003739,419.2625900442328,293.3808621365664,194.83418052620146,146.17738168868277,110.03119326975451,57.923102383005414,5.643458825843609
41.25,497.7213709922892,462.7520878205527,360.1735006820178,227.6440221772419,161.7225908572401,120.82784205459926,65.1074147855545,6.639165454938194
43.75,498.0180205860903,476.74278693117066,409.50431108942524,271.79119983539056,184.5100364995425,134.3156892999939,73.1696359793262,7.844636930376947
46.25,498.16055550607325,480.85666980564247,437.35919803674386,318.3722044788068,215.32878611708588,151.9793635550124,82.20692841711352,9.293072488658813
48.75,498.28418155835993,482.06958691514404,449.4466917351926,357.0909772641765,250.8617475378305,174.25173321643717,92.14654280408902,10.97218191258495
51.25,484.36832947915127,395.5218133465636,338.0366422874942,276.0407153685153,202.04469803478793,140.6811638472712,72.9100511425498,8.995186097616932
53.75,498.0985845255445,464.9924298115846,399.78464205309615,319.06535766256945,248.9124287204519,183.30057224478654,94.75214297140852,12.514899832795436
56.25,498.4879960442872,482.41782554570307,442.5966100965116,366.2864178554886,295.99028530826774,230.2486666848159,126.22105154579555,17.698921684913753
58.75,498.58118874871803,485.628121442856,460.29863470453523,404.23572023993114,341.31447464172925,278.71902056109536,167.60113058315576,25.786572524272813
61.25,498.67077584875364,486.7349966927307,466.3362345503152,426.4340730950295,377.7243621210676,324.04711238937347,216.64968237716374,39.44823062313216
63.75,498.76805536497346,487.714375669786,469.35825711640257,437.5612043831246,401.4829439016886,360.2223094671474,268.22166196439883,64.06990588223427
66.25,498.8858399152976,488.88170783822136,472.3007399343994,444.720741362021,416.2335910399476,385.49342907844186,315.3896878563596,108.80464302016965
68.75,499.0963298671124,490.95032982328604,477.3333074349755,454.56771417147706,431.65658646838887,408.3004251942934,358.5497587296547,188.36257932969573
71.25,499.98226453757326,499.82264536458405,499.5566131025924,499.1132241708552,498.66983138150016,498.22642985012527,497.3395460375222,494.67682965711384
